Asset,Minsky_Mean,SE,t_stat,p_value,Significant
SPY,0.015442697636258548,0.0017877804024397797,8.637916387932172,0.0,True
QQQ,0.017272081344733247,0.0020302445162592203,8.507389728877346,0.0,True
IWM,0.014555780136353913,0.0023555702694993855,6.179302025002787,9.848479809448918e-10,True
DIA,0.013116037673372752,0.0018002994393053135,7.285475619785714,7.167599846980011e-13,True
XLF,0.007747837484288911,0.0023124711083267516,3.3504580690286154,0.0008404915967941129,True
XLE,0.005282006482045475,0.003209872734865698,1.645550125608477,0.10018789770536007,False
XLK,0.015133012693266725,0.002081907482930336,7.268820933371466,7.926992395823618e-13,True
EFA,0.009269672234371544,0.001840862904695374,5.035503844815369,5.714241462229097e-07,True
EEM,0.003675613107854428,0.002229345366213149,1.6487409997392932,0.09955601399887004,False
GLD,0.007216702550138432,0.0015688024069099098,4.600134802414833,4.839352442331801e-06,True
