fold,start,end,auc,n_test,crisis_rate
9,2015-02-04,2015-08-04,0.6666666666666666,126,0.07142857142857142
10,2015-05-06,2015-11-02,0.5328798185941043,126,0.16666666666666666
11,2015-08-05,2016-02-03,0.39092970521541953,126,0.16666666666666666
12,2015-11-03,2016-05-04,0.3561253561253561,126,0.07142857142857142
19,2017-08-04,2018-02-02,0.3646551724137931,126,0.07936507936507936
20,2017-11-02,2018-05-04,0.2931034482758621,126,0.07936507936507936
22,2018-05-07,2018-11-01,0.37207602339181284,126,0.09523809523809523
23,2018-08-06,2019-02-05,0.4193548387096774,126,0.24603174603174602
24,2018-11-02,2019-05-07,0.6655189375307428,126,0.15079365079365079
27,2019-08-07,2020-02-05,0.5186074429771909,126,0.05555555555555555
28,2019-11-05,2020-05-06,0.6400255754475703,126,0.2698412698412698
29,2020-02-06,2020-08-05,0.39730639730639733,126,0.21428571428571427
30,2020-05-07,2020-11-03,0.032258064516129004,126,0.015873015873015872
31,2020-08-06,2021-02-04,0.032258064516129004,126,0.015873015873015872
35,2021-08-06,2022-02-03,0.8586206896551725,126,0.07936507936507936
36,2021-11-04,2022-05-05,0.43925831202046034,126,0.2698412698412698
37,2022-02-04,2022-08-05,0.3716049382716049,126,0.2857142857142857
38,2022-05-06,2022-11-03,0.3112663225022776,126,0.29365079365079366
39,2022-08-08,2023-02-06,0.3188118811881188,126,0.1984126984126984
45,2024-02-08,2024-08-08,0.19999999999999996,126,0.007936507936507936
46,2024-05-09,2024-11-06,0.28,126,0.007936507936507936
47,2024-08-09,2025-02-10,0.45161290322580644,126,0.015873015873015872
48,2024-11-07,2025-05-12,0.48760611205432947,126,0.24603174603174602
49,2025-02-11,2025-08-12,0.5012442232492,126,0.23015873015873015
