Ticker,Class,Coverage,Start_Date,End_Date
SPY,USA Core,1.0,2005-01-03,2025-12-17
EWC,Developed,1.0,2005-01-03,2025-12-17
EWY,Asia,1.0,2005-01-03,2025-12-17
QQQ,USA Core,1.0,2005-01-03,2025-12-17
EWW,EM,1.0,2005-01-03,2025-12-17
EWZ,EM,1.0,2005-01-03,2025-12-17
EEM,EM,1.0,2005-01-03,2025-12-17
EWI,Regional,1.0,2005-01-03,2025-12-17
EZA,Regional,1.0,2005-01-03,2025-12-17
EWU,Developed,1.0,2005-01-03,2025-12-17
EWG,Developed,1.0,2005-01-03,2025-12-17
EWJ,Developed,1.0,2005-01-03,2025-12-17
EFA,Developed,1.0,2005-01-03,2025-12-17
DIA,USA Core,1.0,2005-01-03,2025-12-17
IWM,USA Core,1.0,2005-01-03,2025-12-17
EWA,Developed,0.9998103905953736,2005-01-03,2025-12-17
EWH,Developed,0.9998103905953736,2005-01-03,2025-12-17
EWT,Developed,0.9998103905953736,2005-01-03,2025-12-17
EWS,Developed,0.9998103905953736,2005-01-03,2025-12-17
EWL,Developed,0.9998103905953736,2005-01-03,2025-12-17
FXI,Asia,0.9998103905953736,2005-01-03,2025-12-17
EWK,Developed,0.9998103905953736,2005-01-03,2025-12-17
ECH,EM,0.8627227910504361,2007-11-16,2025-12-17
TUR,Regional,0.8458475540386803,2008-03-28,2025-12-17
THD,Regional,0.8456579446340539,2008-03-28,2025-12-17
EIS,Middle East,0.8456579446340539,2008-03-28,2025-12-17
IDX,Regional,0.806977626090254,2009-01-20,2025-12-17
