"fold","train_end","test_start","test_end","logscore_base","logscore_flex","logscore_amp","cov90_base","cov90_flex","cov90_amp","ok"
1,2013-01-24,2013-04-23,2013-10-18,2.14065624643647,1.93574582162552,1.93164183158974,0.873015873015873,0.738095238095238,0.746031746031746,TRUE
2,2013-07-25,2013-10-21,2014-04-22,2.3854454045851,2.40496201312514,2.39187370777967,0.968253968253968,0.952380952380952,0.952380952380952,TRUE
3,2014-01-24,2014-04-23,2014-10-20,2.13876720055526,2.23780813922599,2.25048633550964,0.865079365079365,0.896825396825397,0.904761904761905,TRUE
4,2014-07-25,2014-10-21,2015-04-22,2.30350657986798,2.24662826423995,2.23397555248737,0.96031746031746,0.976190476190476,0.976190476190476,TRUE
5,2015-01-26,2015-04-23,2015-10-20,1.77245839922415,1.61042057521016,1.56345523745365,0.785714285714286,0.793650793650794,0.793650793650794,TRUE
6,2015-07-27,2015-10-21,2016-04-21,1.74647290574157,1.69222396715856,1.69448317786276,0.793650793650794,0.904761904761905,0.904761904761905,TRUE
7,2016-01-26,2016-04-22,2016-10-19,2.39341327652086,2.42295477814145,2.41719261777808,0.976190476190476,0.984126984126984,0.984126984126984,TRUE
8,2016-07-26,2016-10-20,2017-04-24,2.466477043248,2.31762987211624,2.31180835453468,0.920634920634921,0.857142857142857,0.849206349206349,TRUE
9,2017-01-26,2017-04-25,2017-10-20,2.75182762550866,2.77777637854365,2.79197429747503,1,1,1,TRUE
10,2017-07-27,2017-10-23,2018-04-24,1.50443538016584,1.10849194485154,1.03099942035718,0.793650793650794,0.722222222222222,0.714285714285714,TRUE
11,2018-01-26,2018-04-25,2018-10-22,2.17147579274721,2.20425993684448,2.2030653648853,0.912698412698413,0.888888888888889,0.888888888888889,TRUE
12,2018-07-27,2018-10-23,2019-04-25,1.6611130739005,1.75565278793301,1.75924918080338,0.738095238095238,0.801587301587302,0.80952380952381,TRUE
13,2019-01-29,2019-04-26,2019-10-23,1.96793683542723,1.7659533155607,1.76864017440663,0.888888888888889,0.76984126984127,0.76984126984127,TRUE
14,2019-07-30,2019-10-24,2020-04-24,0.769575236851062,0.651670012505653,0.619709237278329,0.73015873015873,0.571428571428571,0.571428571428571,TRUE
15,2020-01-29,2020-04-27,2020-10-22,1.81188556550326,1.57045876236747,1.57464774344606,0.928571428571429,0.976190476190476,0.976190476190476,TRUE
16,2020-07-29,2020-10-23,2021-04-26,2.14514860694733,2.0659817393621,2.06574436848937,0.968253968253968,0.968253968253968,0.968253968253968,TRUE
17,2021-01-28,2021-04-27,2021-10-22,2.19601679105481,2.17560881558819,2.17409136084307,0.936507936507937,1,1,TRUE
18,2021-07-29,2021-10-25,2022-04-25,1.1912697202039,1.15524322772099,1.16151790774564,0.777777777777778,0.793650793650794,0.80952380952381,TRUE
19,2022-01-27,2022-04-26,2022-10-24,0.951515960748543,1.0255882016705,1.016492710917,0.753968253968254,0.785714285714286,0.777777777777778,TRUE
20,2022-07-29,2022-10-25,2023-04-26,1.87044377456655,1.85747804683605,1.85885847107513,0.944444444444444,0.968253968253968,0.968253968253968,TRUE
21,2023-01-30,2023-04-27,2023-10-25,1.78655042840199,1.81250113482316,1.80870446440729,0.825396825396825,0.825396825396825,0.825396825396825,TRUE
22,2023-08-01,2023-10-26,2024-04-26,1.84796704613747,1.79046135739493,1.79028962578139,0.738095238095238,0.761904761904762,0.753968253968254,TRUE
23,2024-01-31,2024-04-29,2024-10-25,2.26301014577131,2.18166995330645,2.1764282684065,0.920634920634921,0.968253968253968,0.968253968253968,TRUE
24,2024-08-01,2024-10-28,2025-04-30,1.45867326178655,1.50039064567266,1.49851192194758,0.817460317460317,0.888888888888889,0.888888888888889,TRUE
25,2025-02-03,2025-05-01,2025-10-29,2.33161616433101,2.35542414601716,2.3522068689948,0.992063492063492,0.984126984126984,0.976190476190476,TRUE
