feature,coefficient,abs_coef
Dollar_ret_vol5,0.19422911076565372,0.19422911076565372
Dollar_ret_vol21,-0.18425664055446042,0.18425664055446042
Silver_ret_lag1,-0.16812466871791665,0.16812466871791665
SP500_ret_vol21,-0.13289256424555368,0.13289256424555368
Gold_ret_lag1,0.11463496793763794,0.11463496793763794
Gold_ret_vol21,0.10026123015892015,0.10026123015892015
Silver_ret_lag10,0.09730478518019067,0.09730478518019067
Gold_ret_lag5,-0.09679682041288341,0.09679682041288341
Oil_ret_vol5,0.09013345712876433,0.09013345712876433
Gold_ret_lag10,-0.08367544353895942,0.08367544353895942
Silver_ret_vol21,-0.08128569021120619,0.08128569021120619
Dollar_ret_lag1,0.07174576877142229,0.07174576877142229
Silver_ret_vol5,0.06945640585518978,0.06945640585518978
SP500_ret_vol5,0.061645100890725606,0.061645100890725606
Ethereum_ret_vol21,-0.06078750082531511,0.06078750082531511
Silver_ret_lag5,0.058104358467347815,0.058104358467347815
Ethereum_ret_lag1,0.05344445513578823,0.05344445513578823
Dollar_ret_lag5,-0.0514912196622006,0.0514912196622006
Bitcoin_ret_vol21,0.050140231085696645,0.050140231085696645
Dollar_ret_lag10,-0.048265904515290836,0.048265904515290836
Gold_ret_vol5,0.04696706046301469,0.04696706046301469
Oil_ret_lag1,0.04296465591880779,0.04296465591880779
Silver_ret_lag21,-0.038840268865562,0.038840268865562
Bitcoin_ret_lag10,0.03762156387760627,0.03762156387760627
Oil_ret_lag21,0.03721966905228646,0.03721966905228646
Bitcoin_ret_lag1,0.03654141406633528,0.03654141406633528
Oil_ret_lag5,-0.03134771620008892,0.03134771620008892
Ethereum_ret_lag5,-0.030986876346096048,0.030986876346096048
SP500_ret_lag1,0.027995337215775566,0.027995337215775566
Oil_ret_vol21,-0.024289006494294916,0.024289006494294916
SP500_ret_lag5,-0.020877644689658564,0.020877644689658564
Ethereum_ret_vol5,0.015755355473360145,0.015755355473360145
Ethereum_ret_lag10,-0.01471295612572889,0.01471295612572889
Oil_ret_lag10,0.011816582143127842,0.011816582143127842
SP500_ret_lag10,0.010488485590692416,0.010488485590692416
Dollar_ret_lag21,-0.010302225909245401,0.010302225909245401
Bitcoin_ret_lag5,0.009695474021699063,0.009695474021699063
SP500_ret_lag21,-0.00913808049081506,0.00913808049081506
Bitcoin_ret_lag21,0.00836720675012178,0.00836720675012178
Gold_ret_lag21,-0.007992893214413124,0.007992893214413124
Ethereum_ret_lag21,-0.00689910408538238,0.00689910408538238
Bitcoin_ret_vol5,0.003580910145242871,0.003580910145242871
