Entropy_Window,Energy_Window,Sharpe,CAGR,MaxDD
42,30,0.39684772183256767,0.10951752945903581,-0.5677538774277285
42,60,0.3430025932991679,0.09903500650971475,-0.5677538774277289
42,90,0.334715757912701,0.09740260754296148,-0.567753877427728
63,30,0.34436415959986477,0.09953035935517884,-0.5780198919212847
63,60,0.3475444117174969,0.10027995456755012,-0.5677538774277292
63,90,0.3347387572156804,0.09768801062469801,-0.5677538774277296
126,30,0.2868460617125092,0.08887998598054514,-0.6690614935174689
126,60,0.32265865543409966,0.0966075236108983,-0.6456458298756396
126,90,0.2961031032327397,0.09141403015498728,-0.6492171122283661
